step,dt,truth_phi,truth_omega,truth_alpha,measurement_0,measurement_1,measurement_2
0,0.1,0.00,1.00,0.10,0.00,0.02,-0.01
1,0.1,0.10,1.01,0.10,0.11,0.09,0.10
2,0.1,0.21,1.02,0.10,0.20,0.22,0.21
3,0.1,0.33,1.03,0.10,0.34,0.32,0.33
4,0.1,0.46,1.04,0.10,0.45,0.47,0.46
5,0.1,0.60,1.05,0.10,0.59,0.61,1.20
6,0.1,0.75,1.06,0.10,0.76,0.74,1.85
7,0.1,0.91,1.07,0.10,0.90,0.92,0.30
8,0.1,1.08,1.08,0.10,1.07,1.10,1.09
9,0.1,1.26,1.09,0.10,1.27,1.24,1.28
10,0.1,1.45,1.10,0.10,1.44,1.46,1.45
11,0.1,1.65,1.11,0.10,1.66,1.64,1.65
