slug,A,B,V,N,compression,v_rate,cluster
aloha_static,11481,43241,278,55000,0.791255,0.005055,nonzero_v
aloha_static_pingpong_test,1244,4756,0,6000,0.792667,0.000000,zero_v
aloha_static_screw_driver,1225,18257,518,20000,0.938750,0.025900,nonzero_v
aloha_static_tape,13813,21187,0,35000,0.605343,0.000000,zero_v
anymal_parkour,1087,2144,0,3231,0.663572,0.000000,zero_v
cheetah3,38304,10103,565,48972,0.217839,0.011537,nonzero_v
cwru,30,3,118,151,0.801325,0.781457,nonzero_v
dlr_justin,2441,451,30,2922,0.164613,0.010267,nonzero_v
droid,15366,16846,0,32212,0.522973,0.000000,zero_v
femto_st,1461,123,1219,2803,0.478773,0.434891,nonzero_v
icub3_sorrentino,510,751,3393,4654,0.890417,0.729050,nonzero_v
icub_pushrecovery,7329,985,491,8805,0.167632,0.055764,nonzero_v
ims,501,32,451,984,0.490854,0.458333,nonzero_v
kuka_lwr,912,855,0,1767,0.483871,0.000000,zero_v
mobile_aloha,18734,46266,0,65000,0.711785,0.000000,zero_v
openx,84,14,0,98,0.142857,0.000000,zero_v
panda_gaz,18489,1882,173,20544,0.100029,0.008421,nonzero_v
so100,10318,7509,1804,19631,0.474403,0.091895,nonzero_v
unitree_g1,3007,655,9,3671,0.180877,0.002452,nonzero_v
ur10_kufieta,6769,5312,268,12349,0.451858,0.021702,nonzero_v
